*******************************************************************************
Ephemeris / WWW_USER Sat Jun 23 08:34:32 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-25 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Mar-25 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460337.958333333, A.D. 2024-Jan-28 11:00:00.0000, -3.739315320181233E+05,  1.549851634792410E+05,  2.305303202980720E+04, -3.826785392833831E-01, -8.908113483911612E-01, -6.452382760873066E-02,
2460338.000000000, A.D. 2024-Jan-28 12:00:00.0000, -3.752945594100950E+05,  1.517723862456132E+05,  2.281983875152491E+04, -3.745541705376120E-01, -8.940531193784587E-01, -6.502712186302040E-02,
2460338.041666667, A.D. 2024-Jan-28 13:00:00.0000, -3.766282883278522E+05,  1.485480658951785E+05,  2.258484304867393E+04, -3.664017033500505E-01, -8.972241609402296E-01, -6.552516922759133E-02,
2460338.083333333, A.D. 2024-Jan-28 14:00:00.0000, -3.779326186343858E+05,  1.453124573769082E+05,  2.234806386779354E+04, -3.582217029804263E-01, -9.003242942404051E-01, -6.601793768006420E-02,
2460338.125000000, A.D. 2024-Jan-28 15:00:00.0000, -3.792074522281283E+05,  1.420658162767934E+05,  2.210952027012855E+04, -3.500147349671143E-01, -9.033533442104988E-01, -6.650539551721585E-02,
2460338.166666667, A.D. 2024-Jan-28 16:00:00.0000, -3.804526930439273E+05,  1.388083988043301E+05,  2.186923143048347E+04, -3.417813651105974E-01, -9.063111395231527E-01, -6.698751135331787E-02,
2460338.208333333, A.D. 2024-Jan-28 17:00:00.0000, -3.816682470539598E+05,  1.355404617790984E+05,  2.162721663608240E+04, -3.335221594577029E-01, -9.091975125656619E-01, -6.746425411845014E-02,
2460338.250000000, A.D. 2024-Jan-28 18:00:00.0000, -3.828540222685922E+05,  1.322622626174374E+05,  2.138349528543529E+04, -3.252376842866179E-01, -9.120122994134983E-01, -6.793559305679236E-02,
2460338.291666667, A.D. 2024-Jan-28 19:00:00.0000, -3.840099287371878E+05,  1.289740593192156E+05,  2.113808688721021E+04, -3.169285060926840E-01, -9.147553398038435E-01, -6.840149772489368E-02,
2460338.333333333, A.D. 2024-Jan-28 20:00:00.0000, -3.851358785488634E+05,  1.256761104546961E+05,  2.089101105911208E+04, -3.085951915749715E-01, -9.174264771091525E-01, -6.886193798992407E-02,
2460338.375000000, A.D. 2024-Jan-28 21:00:00.0000, -3.862317858332001E+05,  1.223686751514974E+05,  2.064228752676749E+04, -3.002383076236345E-01, -9.200255583107653E-01, -6.931688402790442E-02,
2460338.416666667, A.D. 2024-Jan-28 22:00:00.0000, -3.872975667609097E+05,  1.190520130816486E+05,  2.039193612261615E+04, -2.918584213080473E-01, -9.225524339725761E-01, -6.976630632192315E-02,
